Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,8031,44,5100.0,7095.757461365837,37.27308199995605,141058.46495199966,115.36446270701033,44.650735194690974,0.2446310980657954,5100,6000,6900,8100,13000,21000,37000,69000,130000,141000,141000
,Aggregated,8031,44,5100.0,7095.757461365837,37.27308199995605,141058.46495199966,115.36446270701033,44.650735194690974,0.2446310980657954,5100,6000,6900,8100,13000,21000,37000,69000,130000,141000,141000
