Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/numericalintegralservice/0/3.14159,60303,0,1200.0,1485.2887928911437,250.1614000002519,11195.993445999193,120.0,246.55043930284603,0.0,1200,1400,1700,1900,2500,3500,5500,7000,10000,11000,11000
,Aggregated,60303,0,1200.0,1485.2887928911437,250.1614000002519,11195.993445999193,120.0,246.55043930284603,0.0,1200,1400,1700,1900,2500,3500,5500,7000,10000,11000,11000
