Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,3776,0,47000.0,39031.62212479873,123.37119199946756,62964.85941100036,116.0,8.117147899537136,0.0,47000,49000,50000,50000,55000,57000,58000,59000,63000,63000,63000
,Aggregated,3776,0,47000.0,39031.62212479873,123.37119199946756,62964.85941100036,116.0,8.117147899537136,0.0,47000,49000,50000,50000,55000,57000,58000,59000,63000,63000,63000
