Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,1271,0,50000.0,41423.86920654441,134.60525899972708,72454.54696099932,116.0,7.06165554089336,0.0,50000,50000,51000,51000,53000,58000,60000,62000,67000,72000,72000
,Aggregated,1271,0,50000.0,41423.86920654441,134.60525899972708,72454.54696099932,116.0,7.06165554089336,0.0,50000,50000,51000,51000,53000,58000,60000,62000,67000,72000,72000
